StockSymbol,RSI,Action
5PAISA,79.3,Sell
AADHARHFC,69.01,Buy
ABFRL,53.09,Buy
ABMKNO,49.29,Buy
ADANIENT,67.47,Buy
ADOR,70.42,Sell
ADVENZYMES,29.03,Hold
AEGISLOG,92.71,Sell
AETHER,72.18,Sell
AGARWALEYE,57.94,Buy
AIAENG,59.55,Buy
ALLTIME,62.07,Buy
ANANDRATHI,74.56,Sell
APARINDS,52.79,Buy
APCOTEXIND,54.89,Buy
APOLLOTYRE,70.29,Sell
APTUS,68.83,Buy
ARIHANT,41.95,Buy
ARSSBL,58.98,Buy
ARVIND,68.0,Buy
ASHAPURMIN,45.87,Buy
AVADHSUGAR,62.39,Buy
AVANTEL,60.85,Buy
AVG,71.9,Sell
AWL,42.07,Buy
AXISCADES,37.28,Buy
AYMSYNTEX,77.6,Sell
AZAD,50.34,Buy
BALAMINES,62.39,Buy
BALRAMCHIN,60.4,Buy
BANSALWIRE,64.87,Buy
BASF,55.6,Buy
BBL,50.2,Buy
BBTCL,59.96,Buy
BEEKAY,53.58,Buy
BESTAGRO,47.3,Buy
BLSE,75.18,Sell
BLUEJET,72.58,Sell
BOROLTD,0.0,No Data
BRITANNIA,0.0,No Data
BSOFT,0.0,No Data
BUTTERFLY,0.0,No Data
CANHLIFE,0.0,No Data
CANTABIL,0.0,No Data
CCAVENUE,0.0,No Data
CENTUM,0.0,No Data
CESC,0.0,No Data
CGCL,0.0,No Data
CHEMCON,0.0,No Data
CHEMPLASTS,0.0,No Data
CHOICEIN,0.0,No Data
COCHINSHIP,0.0,No Data
COLPAL,0.0,No Data
COMSYN,0.0,No Data
CPEDU,0.0,No Data
CSBBANK,0.0,No Data
DCBBANK,0.0,No Data
DHANUKA,0.0,No Data
DIFFNKG,0.0,No Data
DIGISPICE,56.99,Buy
DOLPHIN,37.38,Buy
ENIL,39.14,Buy
ETERNAL,69.32,Buy
EXCELSOFT,51.96,Buy
EXIDEIND,68.11,Buy
FCL,52.3,Buy
FIEMIND,49.53,Buy
FIVESTAR,71.93,Sell
FORCEMOT,56.2,Buy
FSL,45.37,Buy
FUSION,72.13,Sell
GANECOS,47.08,Buy
GCSL,70.65,Sell
GHCLTEXTIL,63.87,Buy
GLAXO,61.66,Buy
GLOSTERLTD,74.37,Sell
GMBREW,67.3,Buy
GMDCLTD,46.24,Buy
GODREJPROP,71.58,Sell
GRAUWEIL,65.18,Buy
GREAVESCOT,75.53,Sell
GRSE,54.05,Buy
GSPCROP,35.43,Buy
HALDYNGL,51.84,Buy
HAPPSTMNDS,49.07,Buy
HDBFS,65.8,Buy
HIKAL,66.72,Buy
HINDUNILVR,55.28,Buy
HINDZINC,35.93,Buy
HUHTAMAKI,76.3,Sell
ICRA,55.0,Buy
IGCL,65.53,Buy
IGPL,54.83,Buy
INDIAGLYCO,69.68,Buy
INDIGOPNTS,68.18,Buy
INDOFARM,57.7,Buy
INDOSTAR,64.28,Buy
INVPRECQ,0.0,No Data
IOC,0.0,No Data
IPCALAB,0.0,No Data
IRISDOREME,0.0,No Data
ITDC,0.0,No Data
IVALUE,0.0,No Data
IXIGO,0.0,No Data
JASH,0.0,No Data
JBCHEPHARM,0.0,No Data
JTEKTINDIA,0.0,No Data
JUBLCPL,0.0,No Data
JUBLINGREA,0.0,No Data
KABRAEXTRU,0.0,No Data
KDDL,0.0,No Data
KERNEX,0.0,No Data
KISSHT,0.0,No Data
KMEW,0.0,No Data
KNAGRI,0.0,No Data
KPL,0.0,No Data
KRONOX,0.0,No Data
KSL,0.0,No Data
LATENTVIEW,0.0,No Data
LINC,59.95,Buy
LMW,50.54,Buy
LTF,71.06,Sell
MACPOWER,75.57,Sell
MAHASTEEL,43.57,Buy
MAHLOG,63.17,Buy
MANBA,74.73,Sell
MANCREDIT,70.12,Sell
MAPMYINDIA,57.94,Buy
MARICO,67.99,Buy
MARINE,64.53,Buy
MARKOLINES,78.23,Sell
MARUTI,65.91,Buy
MASTEK,50.27,Buy
MAYURUNIQ,71.71,Sell
MBAPL,68.89,Buy
MBEL,66.13,Buy
MCCHRLS-B,0.0,No Data
MCLOUD,65.04,Buy
MEDICAMEQ,55.83,Buy
MIDWESTLTD,59.36,Buy
MMFL,62.53,Buy
MOBIKWIK,59.81,Buy
MOLDTKPAC,59.35,Buy
MONEYBOXX,35.47,Buy
MOREPENLAB,69.92,Buy
MRF,59.05,Buy
MSUMI,62.75,Buy
MUFTI,55.04,Buy
MUNJALAU,55.93,Buy
MUNJALSHOW,53.52,Buy
MUTHOOTCAP,62.0,Buy
MVGJL,49.01,Buy
NELCAST,61.44,Buy
NEPHROPLUS,50.25,Buy
NH,59.96,Buy
NIACL,0.0,No Data
NIMBSPROJ,0.0,No Data
NITINSPIN,0.0,No Data
NPST,0.0,No Data
NRBBEARING,0.0,No Data
NTPC,0.0,No Data
OBEROIRLTY,0.0,No Data
OLAELEC,0.0,No Data
OLECTRA,0.0,No Data
OMAXAUTO,0.0,No Data
OMFREIGHT,0.0,No Data
ONMOBILE,0.0,No Data
ORICONENT,0.0,No Data
ORIENTELEC,0.0,No Data
PAISALO,0.0,No Data
PARACABLES,0.0,No Data
PARAS,0.0,No Data
PAUSHAKLTD,0.0,No Data
PAYTM,0.0,No Data
PCBL,0.0,No Data
PCJEWELLER,68.02,Buy
PERSISTENT,41.76,Buy
PGHH,39.45,Buy
PHOENIXLTD,74.12,Sell
PICCADIL,69.24,Buy
PITTIENG,51.21,Buy
PNGJL,52.68,Buy
PNGSREVA,63.63,Buy
POLYCAB,51.71,Buy
POLYMED,68.67,Buy
PRESTIGE,75.95,Sell
PROZONER,43.3,Buy
PTL,63.29,Buy
PUNJABCHEM,67.42,Buy
QPOWER,46.87,Buy
QUESS,83.03,Sell
RAJRATAN,57.51,Buy
RAJRILTD,74.52,Sell
RAMCOCEM,62.91,Buy
RBZJEWEL,64.78,Buy
REDINGTON,65.98,Buy
RHIM,58.4,Buy
RISHABH,73.53,Sell
RKSWAMY,55.26,Buy
RMDRIP,57.41,Buy
S,0.0,No Data
SAATVIKGL,0.0,No Data
SAGILITY,0.0,No Data
SALASAR,0.0,No Data
SAMBHV,0.0,No Data
SAMMAANCAP,0.0,No Data
SANOFICONR,0.0,No Data
SARLAPOLY,0.0,No Data
SATIN,0.0,No Data
SCPL,0.0,No Data
SEIL,0.0,No Data
SHILPAMED,0.0,No Data
SHINDL,0.0,No Data
SHREDIGCEM,0.0,No Data
SHREEJISPG,0.0,No Data
SHRINGARMS,0.0,No Data
SHRIRAMFIN,0.0,No Data
SIGNPOST,0.0,No Data
SIKA,0.0,No Data
SILVERTUC,0.0,No Data
SKFINDUS,0.0,No Data
SMSPHARMA,0.0,No Data
SOBHA,0.0,No Data
SOLARINDS,0.0,No Data
SONACOMS,0.0,No Data
SPAL,0.0,No Data
SPANDANA,0.0,No Data
SUMEETINDS,0.0,No Data
SUMMITSEC,0.0,No Data
SUNFLAG,51.42,Buy
SUYOG,69.15,Buy
SWANDEF,77.63,Sell
SWARAJENG,73.2,Sell
TAALTECH,64.38,Buy
TARIL,63.46,Buy
TATACONSUM,45.69,Buy
TATATECH,48.73,Buy
TATVA,61.46,Buy
TBZ,63.68,Buy
TEAMLEASE,70.01,Sell
TECHM,47.56,Buy
TENNIND,57.2,Buy
THEJO,68.67,Buy
THEMISMED,63.12,Buy
TIMETECHNO,59.05,Buy
TIMKEN,43.26,Buy
TIRUMALCHM,54.14,Buy
TIRUPATIFL,87.5,Sell
TITAN,63.67,Buy
TOLINS,59.4,Buy
TPLPLASTEH,61.8,Buy
TRIDENT,63.97,Buy
TRIVENI,80.04,Sell
TRUALT,46.42,Buy
TTKPRESTIG,78.94,Sell
UDS,60.8,Buy
UJJIVANSFB,66.21,Buy
UNITDSPR,62.23,Buy
UTKARSHBNK,63.63,Buy
UTLSOLAR,66.77,Buy
VAIBHAVGBL,53.46,Buy
VARDMNPOLY,52.09,Buy
VARROC,69.41,Buy
VELJAN,85.71,Sell
VENUSPIPES,75.74,Sell
VIDHIING,45.71,Buy
VIJAYA,61.66,Buy
VINCOFE,58.11,Buy
VISAKAIND,57.85,Buy
VOGL,0.0,No Data
WABAG,0.0,No Data
WEL,0.0,No Data
WELENT,0.0,No Data
WEWORK,0.0,No Data
WHEELS,0.0,No Data
WHIRLPOOL,0.0,No Data
XCHANGING,0.0,No Data
YATHARTH,0.0,No Data
YATRA,0.0,No Data
ZOTA,0.0,No Data
